,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.0,Tue Aug 28 18:56:05 +0000 2018,1.0,0.0,0.0,@BBC,"🐢 Scientists have found new evidence confirming that turtles once lived without shells.
👉 https://t.co/xLIFJNJdh1 https://t.co/VUcP8zguW7",1
1,0.5423,Tue Aug 28 18:03:04 +0000 2018,0.78,0.0,0.22,@BBC,A conversation with a homeless man inspired Stephen to attempt the unusual challenge of crossing the Alps on a spac… https://t.co/w6h0Yhe5bf,2
2,0.0,Tue Aug 28 16:01:02 +0000 2018,1.0,0.0,0.0,@BBC,😂 If Britney's songs were Scottish. https://t.co/Em0LRQmbFt,3
3,0.5994,Tue Aug 28 14:51:38 +0000 2018,0.795,0.0,0.205,@BBC,"RT @BBCOne: Be careful who you trust.

#Bodyguard. Continues Sundays at 9pm on @BBCOne. Or available to watch on @BBCiPlayer: https://t.co/…",4
4,0.3612,Tue Aug 28 14:51:32 +0000 2018,0.848,0.0,0.152,@BBC,"RT @BBCiPlayer: Watch the highlights from Reading and Leeds Festivals on BBC iPlayer 🙌 
https://t.co/AfQl9nXavO https://t.co/KGbRUouFCZ",5
5,0.0,Tue Aug 28 13:02:04 +0000 2018,1.0,0.0,0.0,@BBC,"Once upon a time, two early humans of different ancestry met at a cave in Russia.

50,000 years later, scientists h… https://t.co/oOCBlGLFqQ",6
6,0.0,Tue Aug 28 12:48:59 +0000 2018,1.0,0.0,0.0,@BBC,@BBCTravelShow is on @BBCiPlayer now 👉 https://t.co/Sqn5y0xC80,7
7,0.4767,Tue Aug 28 12:00:18 +0000 2018,0.728,0.0,0.272,@BBC,🍅 Neighbourhood gardens are providing important access to fresh food in urban areas. https://t.co/wLol6vY5rW,8
8,0.8316,Tue Aug 28 11:33:00 +0000 2018,0.63,0.0,0.37,@BBC,"This sweet, sticky rice is hit 100 times with a mallet to create a delicious Japanese dessert. 🍚🔨 #TheTravelShow https://t.co/jLazGPrVH1",9
9,-0.296,Tue Aug 28 11:01:01 +0000 2018,0.896,0.104,0.0,@BBC,🍯 Honey and over-the-counter meds should be the first line of treatment for most people with coughs to avoid antibi… https://t.co/di9e7UgCm9,10
10,0.4215,Tue Aug 28 08:00:16 +0000 2018,0.823,0.0,0.177,@BBC,"❤️🐾 So many puppies and kittens will be safer because of this.
#LucysLaw https://t.co/LyF6u8hy2n",11
11,0.0,Tue Aug 28 07:26:06 +0000 2018,1.0,0.0,0.0,@BBC,"What's the real price of getting rid of plastic packaging?
👉 https://t.co/RyTb9nF0CF https://t.co/MwiKgBExnZ",12
12,0.128,Tue Aug 28 07:00:13 +0000 2018,0.821,0.077,0.103,@BBC,😲 Researchers have created a virtual reality system that tricks your brain into thinking you have unlimited space t… https://t.co/zo6iUmhwoN,13
13,0.624,Mon Aug 27 20:01:03 +0000 2018,0.806,0.0,0.194,@BBC,"Nikki Bedi interviews one of Britain's most successful - and outspoken - actors, @rizmc.

Riz Ahmed: Road to Englis… https://t.co/PACKut4MfU",14
14,0.0772,Mon Aug 27 19:36:00 +0000 2018,0.936,0.0,0.064,@BBC,"🙈 Walking in on your mum. The last thing you want to see. Ever. 

#Wanderlust starring Toni Collette | September 4… https://t.co/C8JHV3ym5j",15
15,0.5859,Mon Aug 27 19:03:04 +0000 2018,0.752,0.062,0.186,@BBC,"In this revealingly intimate documentary, Adrian Chiles takes a long hard look at his own love of boozing. 🍺

Drink… https://t.co/mDtI8RH9Qk",16
16,-0.4939,Mon Aug 27 18:12:05 +0000 2018,0.862,0.138,0.0,@BBC,More than half of Borneo's orangutans have perished since 1999; their habitats destroyed to make way for palm oil p… https://t.co/SIm7DMFEgU,17
17,0.0,Mon Aug 27 17:05:04 +0000 2018,1.0,0.0,0.0,@BBC,🎻 The incredible orchestra with a difference. https://t.co/v9oGw3x47H,18
18,0.0772,Mon Aug 27 16:03:04 +0000 2018,0.944,0.0,0.056,@BBC,"An increasing number of South Korean women are choosing not to marry, not to have children, and not even to have re… https://t.co/Ae3Q2qtHTc",19
19,0.0,Mon Aug 27 14:08:03 +0000 2018,1.0,0.0,0.0,@BBC,"😂🐋🚌 'Before there were London buses, what did we use to measure blue whales?' https://t.co/Tmv8QZe8e7",20
20,0.296,Mon Aug 27 12:11:04 +0000 2018,0.891,0.0,0.109,@BBC,"⚖️🐧 More than 19,000 animals at @ZSLLondonZoo have had their vital statistics taken for the annual weigh-in.
👉… https://t.co/H7JPVMODto",21
21,0.5719,Mon Aug 27 10:05:03 +0000 2018,0.793,0.0,0.207,@BBC,🌻🌻 The Pop-Up Farm has been created by a Hertfordshire farmer to help people learn about farming in a different way… https://t.co/E4PnTp3eLS,22
22,0.0,Mon Aug 27 09:01:02 +0000 2018,1.0,0.0,0.0,@BBC,"Three uninhabited Orkney islands have been put up for sale together for offers over £200,000.
👉… https://t.co/5318XAYLFf",23
23,-0.3818,Mon Aug 27 08:10:04 +0000 2018,0.843,0.157,0.0,@BBC,"Why this bloodless testing device could be a game-changer in the fight against malaria.
#BBCInnovators https://t.co/2kRsfLzxOJ",24
24,-0.4003,Sun Aug 26 19:39:07 +0000 2018,0.828,0.172,0.0,@BBC,"RT @BBCOne: 🚨 Consider this your 30-minute warning! 🚨
#Bodyguard. Starts tonight at 9pm, @BBCOne. https://t.co/m8JzlprYRG",25
25,-0.7269,Sun Aug 26 19:13:06 +0000 2018,0.469,0.408,0.122,@BBC,"A troubled war veteran is assigned to protect a controversial politician...

#Bodyguard | 9pm | @BBCOne |… https://t.co/SopVXMpTWg",26
26,0.0,Sun Aug 26 18:05:00 +0000 2018,1.0,0.0,0.0,@BBC,"🕵️😂 Did you know Sherlock is Indian? 
#GoodnessGraciousMe https://t.co/quFCCTvECl",27
27,0.5719,Sun Aug 26 16:46:09 +0000 2018,0.619,0.0,0.381,@BBC,"The perfect picnic doesn't exi- 
#NationalDogDay https://t.co/hCE7MqzF2P",28
28,0.0,Sun Aug 26 16:32:00 +0000 2018,1.0,0.0,0.0,@BBC,"This sketch was discovered in Germany, but could it be by British artist Henry Moore? Fiona Bruce and @PhilipMould… https://t.co/gGf2OFwsVI",29
29,0.296,Sun Aug 26 15:05:02 +0000 2018,0.81,0.067,0.124,@BBC,"😴 It’s hard to overstate the benefits of a night’s rest for human memory, and neuroscientists are just beginning to… https://t.co/GK81wfxhJ3",30
30,0.0,Sun Aug 26 14:07:04 +0000 2018,1.0,0.0,0.0,@BBC,The boat that ROCKED 🤘https://t.co/4avyIFuoot,31
31,-0.6808,Sun Aug 26 12:06:05 +0000 2018,0.705,0.295,0.0,@BBC,"📖 The murderer turned author who published clues to his crimes.
👉https://t.co/ITArfoXazg https://t.co/BSXLone9P7",32
32,0.4404,Sun Aug 26 11:01:06 +0000 2018,0.868,0.0,0.132,@BBC,🎓 Aidan has cerebral palsy so he used eye gaze technology to complete his degree in creative writing...and got a fi… https://t.co/KMxNJIYrPv,33
33,0.0,Sun Aug 26 10:09:08 +0000 2018,1.0,0.0,0.0,@BBC,💉 Scientists believe they have found a reliable way to transform donor blood into the universal type needed for saf… https://t.co/rU3YmogzMa,34
34,0.2023,Sun Aug 26 09:26:05 +0000 2018,0.909,0.0,0.091,@BBC,😍 Photographs of golden retriever puppies playing with lion and tiger cubs at a wildlife park in Beijing are meltin… https://t.co/1Qfwlhs37j,35
35,0.4404,Sun Aug 26 09:08:05 +0000 2018,0.861,0.0,0.139,@BBC,🥓🍳 @Libertines frontman @PeteDoherty will have his name inscribed on a wall of fame in a Margate cafe after scoffin… https://t.co/I9URg2sXjn,36
36,-0.5994,Sun Aug 26 08:00:14 +0000 2018,0.843,0.157,0.0,@BBC,"This father and son thought they were going to die at sea. 
Then 13 year old Joe did something incredible. 
(via… https://t.co/ygLkik2sjB",37
